timepoints,x_1,x_5,x_2,x_3,x_4,x_6,x_vcc,x_vin
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.000050,0.136364,0.000000,0.000100,0.000000,9.998500,-0.014998,-13.636364
3.000000,0.000153,0.720777,0.000000,0.000300,0.000000,10.000000,-0.015000,-29.220819
3.500000,0.000521,0.881978,0.000011,0.000350,0.000000,10.000000,-0.014999,-32.310929
3.625000,0.000933,0.922844,0.000030,0.000362,0.000000,10.000000,-0.014999,-33.032374
3.875000,0.009084,0.997387,0.003070,0.000387,0.000000,10.000002,-0.014995,-34.288906
4.375000,0.058599,1.084170,0.048635,0.000437,0.000000,10.000005,-0.014970,-36.368057
4.500000,0.072681,1.102369,0.062440,0.000450,0.000000,10.000006,-0.014963,-36.865096
4.750000,0.103376,1.135505,0.093060,0.000475,0.000000,10.000006,-0.014948,-37.776332
4.812500,0.111163,1.143690,0.100840,0.000481,0.000000,10.000006,-0.014944,-37.999026
4.937500,0.127019,1.160017,0.116692,0.000494,0.000000,10.000006,-0.014936,-38.424005
5.187500,0.159480,1.193083,0.149152,0.000519,0.000000,10.000007,-0.014920,-39.191297
5.250000,0.167638,1.201379,0.157310,0.000525,0.000000,10.000007,-0.014916,-39.377935
5.375000,0.184112,1.218099,0.173784,0.000537,0.000000,10.000007,-0.014907,-39.730311
5.625000,0.217599,1.252007,0.207271,0.000562,0.000000,10.000007,-0.014891,-40.350294
5.687500,0.226004,1.260512,0.215676,0.000569,0.000000,10.000007,-0.014886,-40.499974
5.812500,0.242934,1.277627,0.232606,0.000581,0.000000,10.000007,-0.014878,-40.777940
6.062500,0.277205,1.312209,0.266877,0.000606,0.000000,10.000007,-0.014861,-41.247416
6.125000,0.285797,1.320876,0.275469,0.000612,0.000000,10.000007,-0.014856,-41.359369
6.250000,0.303071,1.338283,0.292743,0.000625,0.000000,10.000007,-0.014848,-41.561516
6.500000,0.337901,1.373323,0.327572,0.000650,0.000000,10.000007,-0.014830,-41.878209
6.562500,0.346625,1.382096,0.336296,0.000656,0.000000,10.000007,-0.014826,-41.951899
6.687500,0.364129,1.399684,0.353801,0.000669,0.000001,10.000007,-0.014817,-42.077294
6.937500,0.399292,1.434960,0.388964,0.000694,0.000001,10.000007,-0.014800,-42.239893
7.000000,0.408091,1.443784,0.397763,0.000700,0.000001,10.000007,-0.014795,-42.275027
7.125000,0.425714,1.461444,0.415386,0.000712,0.000001,10.000007,-0.014786,-42.323223
7.375000,0.460985,1.496732,0.450656,0.000737,0.000001,10.000007,-0.014769,-42.331393
7.437500,0.469803,1.505551,0.459474,0.000744,0.000001,10.000007,-0.014764,-42.327923
7.562500,0.487431,1.523168,0.477102,0.000756,0.000001,10.000007,-0.014756,-42.298963
7.812500,0.522583,1.558245,0.512255,0.000781,0.000001,10.000007,-0.014738,-42.153349
7.875000,0.531364,1.567004,0.521035,0.000787,0.000001,10.000007,-0.014734,-42.111472
8.000000,0.548886,1.584467,0.538557,0.000800,0.000001,10.000007,-0.014725,-42.005888
8.250000,0.583698,1.619110,0.573369,0.000825,0.000001,10.000007,-0.014707,-41.708114
8.312500,0.592386,1.627752,0.582057,0.000831,0.000001,10.000007,-0.014703,-41.628269
8.437500,0.609690,1.644950,0.599361,0.000844,0.000001,10.000007,-0.014694,-41.447081
8.687500,0.643943,1.678938,0.633614,0.000869,0.000002,10.000007,-0.014677,-40.999735
8.750000,0.652484,1.687409,0.642154,0.000875,0.000002,10.000007,-0.014673,-40.882605
8.875000,0.669462,1.704233,0.659133,0.000887,0.000002,10.000007,-0.014664,-40.627313
9.125000,0.702943,1.737350,0.692614,0.000912,0.000002,10.000007,-0.014648,-40.033937
9.187500,0.711283,1.745595,0.700953,0.000919,0.000002,10.000007,-0.014643,-39.880440
9.312500,0.727830,1.761938,0.717501,0.000931,0.000002,10.000007,-0.014635,-39.553017
9.562500,0.760331,1.793974,0.750002,0.000956,0.000002,10.000007,-0.014619,-38.818083
